id,label,review,predicted_label
 ^^ rất thích trà thái xanh,posi,2133.0,posi
" ^^ vẫn luôn là lựa chọn hàng đầu khi đi chơi, lại có ưu đãi 13 nghìn / 1 teritaki burger nữa chứ, burger ngon.",posi,2797.0,posi
 ^^ yêu hương vị trà sữa nơi đây ngay từ cảm nhận đầu tiên cơ. Vào quán thì các anh chị nhân viên cười nói nhiệt tình làm mình cũng vui,posi,7122.0,posi
" “ Bouchee a la Reine ” 105 nghìn là một dạng bánh pateso có tôm, thịt gà, sốt kem vừa ăn, bánh giòn thơm cắn 1 miếng thích lắm luôn. ",posi,,posi
" “ Xôi Nhung ” mới được khai trương vào ngày 9.9.2014, quán nằm gần ngay ngã 3 Nguyễn Trọng Tuyển Đặng Văn Ngữ, Q. Phú Nhuận.",neu,,posi
" 1 bánh sầu riêng 29 nghìn : béo ngon, thơm, thèm: ",posi,,posi
" 1 bịch là 35 nghìn , gồm 1 xấp bánh tráng, 1 bịch muối, 1 bịch chà bông, 1 bịch bơ và 1 bịch sốt me.",neu,,posi
" 1 bữa ăn tương đương, trị giá khoảng 2tr tại Vũng Tàu thì tại đây bạn phải trả khoảng 3.5tr. ",neu,,posi
 1 bún 1 phần bánh 2 ly chè khoảng 100 nghìn.,neu,,posi
" 1 cái bánh bao xá xíu 18 nghìn hình như vậy nhưng rất ngon, nhân thịt thơm, trứng muối siêu ngon, bánh không bị khai bị pha mỡ nhiều trong nhân như những tiệm khác ",posi,,posi
" 1 chén súp hạt sen nấm là điều phải nên thử nè, ngon lắm, súp ngọt, ăn vừa miệg, giá 30 nghìn nè ",posi,,posi
" 1 chén tau hũ ta nói siu nhiều :) Thực đơn phong phú đa dạng món, giá cả cũng ổn",posi,,posi
 1 Coffee Studio cực tuyệt. Ai đến đây cũng phải ấn tượng với phong cách Retro Vintage,posi,,posi
" 1 dĩa bánh gồm 5 cặp, kèm nước chấm có 2 cục xíu mại ăn rất ngon. Tới quán được anh chủ phục vụ rất nhiệt tình và tư vấn rất kĩ.",posi,,posi
 1 đĩa chả giò 80 nghìn 6 cuốn ,neu,,posi
" 1 dĩa cơm sườn, lạp xưởng, bì, đậu que. ",neu,,posi
 1 địa điểm quen thuộc để giải trí cùng bạn bè và được ngắm chị chủ quán rất đáng yêu nữa,posi,,posi
" 1 địa điểm sang trọng, ngon mà giá vẫn rất ổn, sẽ quay lại nhiều lần ",posi,,posi
" 1 đĩa khá nhiều và no, trang trí đẹp mắt ngon miệng siêu ưng luôn, giá cả vừa so với dố lượng và chất lượng luônchủ quán cũng nhiệt tình nữa nên mình mê ý. ",posi,,posi
" 1 dĩa sò lông nướng mỡ hành, món này cũng tạm được ",neu,,posi
 1 dĩa thập cẩm bèo nậm lọc... ngon quá,posi,,posi
" 1 điểm không hài lòng duy nhất, là bánh pizza ở đây cực cực cực dở, nướng khét",nega,,posi
" 1 điểm nữa mình cực ưng ý đó là phong cách phục vụ của Dakasi. Nhân viên rất tận tình thân thiện, từ lúc mới đến đã dắt xe cho khách này, tươi cười niềm nở lúc pha trà sữa này, lúc về thì chào và cảm ơn khách hàng.",posi,,posi
 1 đùi dê: nhìn rất hấp dẫn nhưng ăn thì hơi thất vọng... lạnh lạnh thịt hơi bỡ ,nega,,posi
 1 gato 1 trà đào là 30 nghìn combo,neu,,posi
 1 gato flan là 15 nghìn ,neu,,posi
 1 ghẹ chiên 15 nghìn ,neu,,posi
" 1 hộp 10 cái giá chỉ 12 nghìn , chỉ có 1 nhân kem thôi thì phải. bánh rất ngon, kem ăn không béo nhu nhiều chỗ mình ăn. bánh nhỏ nhỏ, ăn hoài không biết ngán. ",posi,,posi
 1 hộp bánh có đủ phomai chà bông trứng muối giá cũng rất ổn,neu,,posi
" 1 hộp có 10 nghìn thôi, giá vô cùng sinh viên. Mở hộp ra là ngập tràn chà bông luôn. Vị rất ngon, ngon nhất là chà bông",posi,,posi
 1 Không gian: đi nhóm 10-13 người thì ổn.,neu,,posi
 1 là ăn hóa đơn 150 nghìn ,neu,,posi
 1 là bánh flan bông lan và 1 cái là bông lan phô mai ,neu,,posi
" 1 là phục vụ, phục vụ đẹp trai và khá dễ thương ",posi,,posi
 1 là quán nằm ở địa điểm cũng hơi khó tìm chút xíu ,nega,,posi
 1 lát tính tiền 200 nghìn quá mắc ,nega,,posi
 1 lẩu cua Tuyết. ,neu,,posi
 1 lẩu nấm 1 bò nướng 1 gimbab 1 nước bưởi 1 nước chanh leo là 507 nghìn ,neu,,posi
 1 ly đá quá mắc so với những cửa hàng khác mình từng mua.,nega,,posi
 1 ly kem Tình nhân ,neu,,posi
 1 ly vại 25 nghìn nhưng mình có ecard nên còn 20 nghìn hà ,neu,,posi
" 1 mâm 10 chén giá 50 nghìn nhưng mà mình thấy không ngon gì cả vì bánh bèo quá dày nên ăn như bánh đúc, đặc biệt thái độ phục vụ kém",nega,,posi
" 1 mì bò bằm đút lò: rất ngon, hợp khẩu vị ăn và rất nhiều thịt bò. không ngán. ",posi,,posi
 1 mì ý hải sản tiêu đen ,neu,,posi
 1 ngày làm việc mêt mỏi. Phi xe ra quán ăn lẩu cá. Lần đầu vào quán.,neu,,posi
 1 niêu cơm bé bé con con như thế này 60 nghìn là quá đắt.,nega,,posi
" 1 nồi lẩu không nhớ tên vì chắc là lẩu cá, vì thấy nguyên con cá da hồng hồng trong nồi. Cá tươi, nước lẩu ngọt, thịt cá béo. ",posi,,posi
" 1 nơi lí tưởng để thư giãn hay học bài, phục vụ tận tình, nhạc nhẹ làm mình thấy thoải mái, đồ uống cũng khá ngon. ",posi,,posi
" 1 nơi rất đẹp, nhìn từ trên cao tuyệt với. Đồ ăn cũng rất ngon, sashimi ngon. Phục vụ rất ổn",posi,,posi
 1 ổ bánh mì thêm 2 nghìn ,neu,,posi
 1 phần 20 nghìn 6 viên. ,neu,,posi
 1 phần 25 nghìn cộng gửi xe 5 nghìn,neu,,posi
 1 phần 6 cục chà bá chỉ có 20 nghìn ăn bao no bao ngon luôn ,posi,,posi
" 1 phần 69 nghìn nhưng mình thấy khá chất, tươi ngon, nhìn vậy mà nhiều ăn no quá trời ",posi,,posi
 1 phần ăn không mắc mà được cả trà đá và rất nhiều cơm... phục vụ nhanh và đồ ăn nóng hổi tuy nhiên mình thấy không ngon.,nega,,posi
" 1 phần ăn rất đầy đủ, xà lách trộn dầu giấm. bánh mì. khoai tây nghiền... mà giá vẫn rất phải chăng 65 nghìn trở xún ",posi,,posi
 1 phần bít tết thập cẩm 30 nghìn kèm 1 đĩa rau và 1 ổ bánh mì,neu,,posi
" 1 phần cơm gồm cơm, 3 loại pachan kèm 1 chén soup rong biển ",neu,,posi
" 1 phần cơm như hình, đùi gà nhỏ chứ không to, có thêm chén canh. Hết 33 nghìn , thật sự là mắc với mặt bằng cũng như chất lượng",nega,,posi
" 1 phần combo 3 phần gà, 1 phần khoai to và nhiều hơn những chỗ khác nhiều, thêm 1 cái bánh xốp phô mai ngon vô cùng.",posi,,posi
" 1 phần kem là 30 nghìn , mình thấy mắc hơn so với những tiệm kem dừa mình đã ăn. Và có phần hơi ít nữa. ",nega,,posi
" 1 phần mì gồm tô mì, 3 loại pachan ",neu,,posi
 1 phần quá ít: ví dụ như bánh tráng trộn và bắp xào ,nega,,posi
" 1 phần quán có cô chủ nhỏ cũng dế thương nên ghé ăn làm quen, chất lương thì ổn. ",neu,,posi
 1 phần salad gà lăn bột chiên giòn là 79 nghìn. Thêm 2 cái pizza Divola xúc xíchlà 129 nghìn và Hải sản là 159 nghìn. ,neu,,posi
" 1 phần trái cây dằm yaour 27 nghìn gồm dưa hấu, thanh long, mít, bơ, … với yaour rất nhiều và ngon lắm. ",posi,,posi
 1 phần zíu mại là 12 nghìn 2 nghìn bánh mì nữa ,neu,,posi
 1 scoop giá 30 nghìn,neu,,posi
 1 set khá ít so với giá ,nega,,posi
 1 siro Đá Bào Sương Tuyết ,neu,,posi
 1 suất 25 nghìn kèm bánh mì siêu ngon,posi,,posi
 1 suất cơm thập cẩm là 48 nghìn.,neu,,posi
" 1 suất mì trộn rau củ là 12 nghìn , có thêm bò viên, cá viên là cứ thêm 2 nghìn nha.",neu,,posi
" 1 suất mình thấy khá nhiều, bún nhiều mà thức ăn còn nhiều hơn, ăn khá là no, khá ngon.",posi,,posi
 1 súp bí 19 nghìn /phần. ,neu,,posi
 1 tàu hủ đậu mẹ mình ăn cũng nói ngon ,posi,,posi
" 1 tô bánh canh dạng bánh bột lọcgiò heo bonus vài miếng ba chỉ là 25 nghìn , thịt vừa mềm tới, nước lèo ngọt vị, hành phi tự làm một tô 25 nghìn chất lượng đáng đồng tiền ! ! ! ",posi,,posi
" 1 tô bún cá có 1520 không thôi mà đầy đủ cá chả tùm lum hết, quá tuyệt vời.",posi,,posi
" 1 tô như này mà 15 nghìn kk, tin được không, ăn no lắm luôn mà lại ngon nữa, sa tế cực cay nữa làm cho món bún gạo trộn này càng đậm đà.",posi,,posi
" 1 trà đào 42 nghìn : thơm ngon, 4 miếng đào dày ",posi,,posi
 1 trà đào là 18 nghìn ,neu,,posi
" 1 trà xanh gongcha dở ẹt chỉ có chút xíu trà xanh, vị không ngon ",nega,,posi
 1 trong những ly coffee dở nhất mình từng uống trong đời,nega,,posi
" 1 trong những quán bánh bèo bình dân ngon nhất, thích hợp với học sinh sinh viên, ai đã từng ăn sẽ không thể quên :) ",posi,,posi
 1 trong những quán yêu thích của mình ở Thủ Đức hihi < 3 ,posi,,posi
" 1 trong những tiệm đồ Nhật đầu tiên ở Cần Thơ, thích ăn nhất là lẩu, giá vừa phải ăn bao ngon. ",posi,,posi
 1 từ để miêu tả thoi ngon siêu luôn. ,posi,,posi
" 1 từ khi miêu tả là rộng và bự hơn những chỗ Lotte khác mà mình từng ghé, thoáng và máy lạnh phà phà mát lắm, nhân viên phục vụ nhanh chóng và chuyên nghiệp, gà giòn không bị mềm, gà mới không nge mùi gà cũ, bánh hambuger ngon mềm",posi,,posi
 1 tuần ăn 2 3 lần mà không ngán ,posi,,posi
" 10 điểm cho các bạn nhân viên, bảo vệ trông xe nữa. Nhiệt tình, chu đáo và thân thiện với khách. ",posi,,posi
 10 hủ giá 17 nghìn ,neu,,posi
" 100 nghìn cho 2 người, xuất đầy đủ gồm pate, trứng, bò bít tết, khoai tây chiên, cà chua, có thể gọi thêm các thứ riêng. Có dưa góp ăn kèm. ",neu,,posi
 100 nghìn cho mẹt này. hình như free trà đá cho mình: 3 ,neu,,posi
" 12 cốc tối nay được làm rất ngon, chuyên nghiệp như mọi khi ",posi,,posi
 12 nghìn / 1 xiên nhưng mà 1 xiên không có bao nhiêu miếng đâu nên tính ra khá mắc,nega,,posi
" 15 năm trước nó rất ổn, nhưng giờ thì tệ, ngồi cạnh bên xe mà còn bị tính 5 nghìn tiền gửi. ",nega,,posi
 15 nghìn 4 viên mình gọi 8 viên hết 30 nghìn ,neu,,posi
 15 nghìn bánh cuốn ,neu,,posi
 15 nghìn cho buổi trưa no nên và ngon miệng. ,posi,,posi
 15.000 cho súp bình thường ,neu,,posi
" 17 nghìn cho một ổ, rất đáng ",posi,,posi
" 18 nghìn 1 tô, hơi ít quán ơi :(",nega,,posi
" 1Đồ ăn bình thường không có gì đặc sắc, chưa nói thua một số quán nướng bình dân. ",nega,,posi
" 1đồ ăn trung bình, nhưng nguội lạnh, đồ chiên rán xìu, không giòn ",nega,,posi
" 2 anh chị phục vụ dễ thương và thân thiện, xì tai cực ý. ",posi,,posi
 2 anh chủ quán cũng rất đẹp trai và nói chuyện dễ thương ,posi,,posi
" 2 anh chủ quán rất vui vẻ, dễ thương. Phục vụ tận tình. ",posi,,posi
" 2 bạn nhân viên quán khá là dễ thương. Nói chuyện nhỏ nhẹ, gợi ý món uống tận tình. ",posi,,posi
 2 Bánh Cupcake Tình Nhân hoặc 2 Bánh Pancake hoặc 2 Bánh Ping Pong ,neu,,posi
 2 bánh tuyết là 20 nghìn ,neu,,posi
 2 cái bánh cupcake trên bàn trong hình là 2 ly trà đá đó.,neu,,posi
" 2 chị nhân viên váy đỏ dễ thương ghê, cái đĩa gắp thức ăn cũng dễ thương luôn. ",posi,,posi
 2 chỗ này mình đều thích ,posi,,posi
" 2 con cá cam là pudding xoài, giống rau câu hơn vì không dẻo mà giòn, bên trong có xoài tươi cắt hạt lựu",neu,,posi
 2 đĩa nộm thường với 1 tá lả hết 120 nghìn,neu,,posi
" 2 đứa ăn 3 món, 2 ly nước, 1 flan hết 188 nghìn",neu,,posi
 2 đứa ăn chưa tới 300 nghìn ,neu,,posi
 2 đứa ăn hết 300 nghìn.,neu,,posi
 2 đứa ăn mà gần 900 nghìn ,neu,,posi
 2 đứa ăn no say mà tính tiền chỉ có 98 nghìn quá rẻ luôn. Đã vậy gửi xe cũng miễn phí nữa. Nói chung từ giờ trở thành quán ruột luôn ,posi,,posi
" 2 đứa ăn no vật vã hết 260 nghìn , có ecard nên giảm còn có 160 nghìn , quá rẻ luôn",posi,,posi
 2 đứa cả ăn cả uống hết chưa đến 700 nghìn. ,neu,,posi
" 2 đứa đi ăn 2 tô mì, cái bánh xèo và 1 chai nước coca. Hết 120 nghìn. cũng ổn. ",neu,,posi
 2 đứa lặn lội khá xa để đến ăn. Nhưng thấy khá thẩt vọng.,nega,,posi
 2 đứa mình mới ăn popeyes lần đầu.,neu,,posi
 2 đứa thường ăn hết khoảng 300 nghìn không nhiều nhưng luôn được phục vụ chu đáo. Mình cực ưng quán này ! ,posi,,posi
 2 đùi gà với 1 miếng thanh cua mà có 42 nghìn ak.Quá rẻ và ngon. ,posi,,posi
" 2 hộp gà xé, 1 phần gà chặt và 1 phần cơm hộp 20 nghìn mang về. Giá cả mắc so với mặt bằng quán ăn ở Nha Trang. ",nega,,posi
 2 khu ngăn với nhau bằng một bức tường kiếng nên có thể đưa mắt nhìn hết quán. ,neu,,posi
 2 lần đến ăn lẩu đây rồi. Lần nay cũng đợi nhưg nhân viên lịch sự và nhiệt tình. Rất thích nhân viên ở đây ,posi,,posi
 2 lần đến quán đều là vào tầm 10h lúc quán đã vãn khách và cũng chuẩn bị nghỉ.,neu,,posi
 2 lần ghé đến quán đều bực mình ,nega,,posi
 2 Lần mình ăn ở đây đều rất hài lòng: 3 ,posi,,posi
 2 loại này Vị khá là béo và ngon... sẽ ghé lại nhiều lần nữa ^^ ,posi,,posi
 2 loại nước này lạ nhưng cũng không ngon lắm,nega,,posi
" 2 ly mình gọi là coổnie green, ngon lắm ý, vừa miệng lắm ",posi,,posi
" 2 ly theo combo cho t 6, trà sữa ở đây pha ngon vừa miệng công với 2 anh nhân viên cực kì nhiệt tình và dễ thương nữa. Chắc chắn sẽ ghé lại ^^ ",posi,,posi
 2 món 62 nghìn giảm 50% còn 31 nghìn,neu,,posi
 2 món tự chọn mình thích cà ria Cua và Cua rang chà bông thơm và ngon ,posi,,posi
 2 món yêu thích của Mình ở Lê Gia là Steak và Gan ngỗng áp chảo.,posi,,posi
 2 mùi 40 nghìn. Ăn kem cũng bình thường in hệt như kem ben ngoài. ,neu,,posi
 2 ngày ghé thì ngày nào cũng cảm thấy hài lòng về chất lượng trà sữa ở đây cả. ,posi,,posi
 2 người ăn 3 món siêu no. Canh kim chi và cơm cuộn rất ngon: D. Nhân viên thì siêu nhiệt tình. Mình bỏ quên đồ quay lại vừa thấy mình là nhân viên chạy ra đưa đồ liền < 3 ,posi,,posi
" 2 người ăn hết 78 nghìn , quá mắc.",nega,,posi
 2 người ăn hết gần 200 nghìn,neu,,posi
" 2 người ăn suất 120 nghìn cũng đủ no rồi, giá cả cũng hợp lý. ",posi,,posi
 2 người kêu 1 mắt cá ngừ đại dương ăn lúc còn nóng thì rất ngon. Sụn gà làm thấm ăn rất ngon. Càng ghẹ rang muối thì càng to thịt nhiều ăn cay cay nên rất thích. ,posi,,posi
" 2 người kêu 3 món mà đã no căng, tính tiền chỉ có 200 nghìn thôi mình được giảm 15% vì có thẻ Gold của Foody",neu,,posi
" 2 người, 2 bánh canh ghẹ1 ghẹ sữa sốt trà sữa thái, hết 140 nghìn , đắt so với chất lượng.",nega,,posi
 2 nước ngọt không giới hạn ,neu,,posi
 2 phần combo mất khoảng 10 mins để ra đến bàn.,neu,,posi
" 2 súp rong biển, 1 phở khô, 1 đậu hũ chiên xù. ",neu,,posi
" 2 từ thôi: NHẠT NHẼO ! nước sốt chỉ bọc phần bên ngoài chứ bên trong lại chẳng có tí gì, ăn mau ngán ",nega,,posi
 2 tuần là đến đây 1 lần cùng bạn bè để ăn tối và gặp nhau.,neu,,posi
 2 vợ chồng ăn hết gần 600 nghìn ,neu,,posi
 2 vợ chồng đi ăn hết 600 nghìn. Kêu lẩu yummy và bologi gì gì ớ. Nước lẩu nhạt dở. Thịt không ngon. Nước chấm dở. ,nega,,posi
" 2 vợ chồng đi ăn sáng, thấy quán sạch sẽ, phục vụ chậm, kêu đồ ăn lâu mới mang lên ; ",posi,,posi
" 2 vợ chồng mình đi ăn hết 20 xiên thịt, 3 cốc thạch và 5 cái nem. ",neu,,posi
 2 vợ chồng mua 2 cái voucher đi ăn thử 1 lần cho biết với người ta ,neu,,posi
 2 xôi thập cẩm và 2 bún thái hải sản ,neu,,posi
" 2/9 đi ăn shabu ya thấy quán cũng khá đông, mình đặt bàn trước 1 ngày nên vừa đến là có bàn ngay ",neu,,posi
 2/9 mình có ghé đây ăn và gọi 2 món là sường nướng gừng với giò hem hầm nấm. Nhìn chung cả 2 món đều ngon.,posi,,posi
 20 nghìn / 1 phần có vẻ hơi cao ,nega,,posi
" 20 nghìn / ly kem, kem cốm thì 25 nghìn , chỗ này khá đông các bạn trẻ ghé tới. Gửi xe bên đường 5 nghìn / xe ",neu,,posi
 20 nghìn /gói. Mắc quá,nega,,posi
 22 nghìn 4 người: thiệt chứ 6 người ăn cũng dư mà kem thì quá tệ,nega,,posi
 22 nghìn được 2 miếng đào giòn to. Rẻ hơn những quán tôi từng uống ,posi,,posi
